Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Place of most time spent before turning 18,Immigration,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a0b8aba32336452521cdf3f,5f919274b5383b00096b0295,APPROVED,Not Applicable,2026-05-18T21:55:20.790000Z,2026-05-18T21:58:44.028000Z,2026-05-18T22:13:04.948000Z,2026-05-18T21:58:44.383131Z,204,C1OGWJ1K,3426,Turkey,"No, I moved to the country I am now living in",33,Female,White,Turkey,United Kingdom,Turkey,Turkish,No,DATA_EXPIRED
6a0b8ba7a108b1af852639f0,69d801b7ff73fd8726f49404,APPROVED,Not Applicable,2026-05-18T21:59:06.890000Z,2026-05-18T22:03:53.718000Z,2026-05-18T22:13:07.172000Z,2026-05-18T22:03:54.119960Z,287,C1OGWJ1K,207,Turkey,"No, I moved to the country I am now living in",37,Female,White,Turkey,Germany,Turkey,Turkish,No,Unemployed (and job seeking)
6a0b8cd86991a61982ece143,69d676c779d3aa3a3a4033e0,APPROVED,Not Applicable,2026-05-18T22:04:20.740000Z,2026-05-18T22:07:35.895000Z,2026-05-18T22:13:08.895000Z,2026-05-18T22:07:36.234637Z,196,C1OGWJ1K,265,Turkey,"No, I moved to the country I am now living in",35,Male,White,Turkey,Germany,Turkey,Turkish,No,Unemployed (and job seeking)
6a0b8dddc1bc943ee9954e4b,6a04c581a6ecf385ad63e2ef,SCREENED OUT,Not Applicable,2026-05-18T22:08:32.618000Z,2026-05-18T22:11:10.148000Z,,2026-05-18T22:14:47.950268Z,158,C1OGWJ1K,7,Turkey,"No, I moved to the country I am now living in",25,Male,White,Turkey,Germany,Turkey,Turkish,No,Unemployed (and job seeking)
6a0b8ed1f223c5279ff42f97,5efea1f363271c3b76d4c9ed,APPROVED,Not Applicable,2026-05-18T22:12:36.716000Z,2026-05-18T22:19:16.058000Z,2026-05-18T22:21:17.634000Z,2026-05-18T22:19:16.437390Z,400,C1OGWJ1K,2295,Turkey,"No, I moved to the country I am now living in",39,Male,White,Turkey,United Kingdom,Turkey,Turkish,No,Full-Time
6a0b9d0636dccef33fffd20a,66059fee43339868e5634461,APPROVED,Not Applicable,2026-05-18T23:13:14.584000Z,2026-05-18T23:16:33.041000Z,2026-05-18T23:17:10.493000Z,2026-05-18T23:16:33.573898Z,199,C1OGWJ1K,4737,Turkey,"No, I moved to the country I am now living in",54,Male,Prefer not to say,Turkey,United States,United States,Turkish,No,Full-Time
